,temp_min,temp_max,temp_mean,temp_median,temp_max_hour,temp_min_hour,dew_point_temp_min,dew_point_temp_max,dew_point_temp_mean,dew_point_temp_median,dew_point_temp_max_hour,dew_point_temp_min_hour,rel_hum_min,rel_hum_max,rel_hum_mean,rel_hum_median,rel_hum_max_hour,rel_hum_min_hour,visibility_min,visibility_max,visibility_mean,visibility_median,visibility_max_hour,visibility_min_hour,press_min,press_max,press_mean,press_median,press_max_hour,press_min_hour,hmdxx_min,hmdxx_max,hmdxx_mean,hmdxx_median,hmdxx_max_hour,hmdxx_min_hour,sun_set,sun_rise,hourly_demand,day_of_week,week_of_year,year
1994-01-01,-1.8,2.8,0.5750000000000001,0.6499999999999999,12.0,5.0,-4.8,1.1,-1.3875,-0.65,19.0,7.0,73.0,99.0,87.0,86.5,14.0,9.0,0.8,40.2,17.84166666666667,16.1,11.0,14.0,98.51,99.91,99.07583333333334,98.84,0.0,16.0,-4.976662629684901,0.6860085702208258,-1.8849003011427945,-1.5135749478955982,13.0,7.0,17.0,8.0,14152.0,5.0,52.0,1994.0
1994-01-02,-14.3,1.7,-8.704166666666667,-9.9,0.0,23.0,-20.3,0.5,-12.445833333333333,-13.9,0.0,23.0,60.0,92.0,74.41666666666667,75.5,0.0,23.0,6.4,40.2,28.387500000000003,25.0,9.0,6.0,98.77,100.51,99.92,100.125,18.0,0.0,-19.165499188452607,-0.33839373077251467,-12.827362583907897,-14.393997995600923,0.0,23.0,17.0,8.0,16527.0,6.0,52.0,1994.0
1994-01-03,-16.3,-10.3,-12.612499999999999,-12.0,17.0,2.0,-23.2,-12.6,-15.820833333333333,-15.0,17.0,2.0,55.0,91.0,77.25,80.5,9.0,2.0,1.2,25.0,10.404166666666667,8.0,0.0,9.0,99.41,100.47,100.05708333333332,100.155,0.0,23.0,-21.317386199117028,-14.555717277936495,-17.143931546132592,-16.423197606411236,17.0,2.0,17.0,8.0,17550.0,0.0,1.0,1994.0
1994-01-04,-11.5,-7.4,-9.833333333333334,-9.95,15.0,8.0,-15.0,-11.5,-13.570833333333333,-13.7,13.0,0.0,57.0,84.0,74.41666666666667,76.0,10.0,16.0,9.7,40.2,24.879166666666666,24.1,13.0,10.0,98.27,99.34,98.67541666666666,98.61,0.0,14.0,-15.874947966639432,-11.706659513418064,-14.183285609218077,-14.31017734472995,15.0,8.0,17.0,8.0,17395.0,1.0,1.0,1994.0
1994-01-05,-17.5,-7.2,-11.866666666666667,-11.75,5.0,22.0,-20.8,-10.7,-16.154166666666665,-17.0,4.0,22.0,56.0,84.0,70.79166666666667,74.0,4.0,14.0,1.0,40.2,27.033333333333335,25.0,9.0,7.0,98.44,100.37,99.35208333333333,99.375,22.0,3.0,-22.394181969646628,-11.256394656144105,-16.40769510636245,-16.464188155559043,5.0,22.0,17.0,8.0,18485.0,2.0,1.0,1994.0
1994-01-06,-18.2,-14.0,-16.0,-15.75,13.0,4.0,-22.1,-16.2,-18.533333333333335,-17.6,14.0,5.0,70.0,88.0,80.875,83.0,19.0,5.0,1.0,25.0,9.858333333333333,3.2,0.0,16.0,99.71,100.41,100.02166666666666,100.025,2.0,14.0,-23.127171863281337,-18.584224566421124,-20.74482325369167,-20.476986799325772,14.0,4.0,17.0,8.0,18796.0,3.0,1.0,1994.0
1994-01-07,-17.4,-13.7,-15.420833333333334,-15.9,20.0,5.0,-21.0,-15.1,-18.379166666666666,-19.0,20.0,8.0,66.0,90.0,78.20833333333333,79.5,17.0,14.0,1.2,40.2,15.858333333333334,12.9,12.0,16.0,99.47,99.97,99.74708333333332,99.81,10.0,23.0,-22.253713715975863,-18.192878500805357,-20.15631918264817,-20.628702768688115,20.0,5.0,17.0,8.0,18170.0,4.0,1.0,1994.0
1994-01-08,-15.0,-9.5,-13.225,-14.1,18.0,1.0,-17.8,-10.7,-15.316666666666668,-16.45,18.0,0.0,78.0,92.0,84.33333333333333,84.0,11.0,0.0,1.6,25.0,10.654166666666667,9.7,21.0,8.0,98.97,99.81,99.27166666666666,99.19,23.0,14.0,-19.704436939910366,-13.544551988423366,-17.718461565860345,-18.66241908960867,18.0,2.0,17.0,8.0,17579.0,5.0,1.0,1994.0
1994-01-09,-21.8,-12.2,-17.804166666666667,-18.5,14.0,8.0,-26.3,-17.6,-22.325,-22.4,16.0,8.0,56.0,76.0,68.08333333333333,69.5,5.0,14.0,24.1,40.2,31.295833333333334,25.0,8.0,1.0,99.91,101.71,100.80666666666667,100.84,23.0,0.0,-26.9456326017306,-17.004724697266003,-22.77155782117899,-23.458662139277504,14.0,8.0,17.0,8.0,17640.0,6.0,1.0,1994.0
1994-01-10,-24.8,-5.2,-14.858333333333334,-15.6,23.0,7.0,-30.1,-9.1,-18.841666666666665,-20.0,22.0,7.0,56.0,93.0,71.91666666666667,71.5,8.0,1.0,4.0,25.0,20.783333333333335,25.0,0.0,14.0,100.67,102.07,101.65499999999999,101.81,8.0,23.0,-30.06469990556103,-9.069643518623176,-19.501955071541666,-20.441877703252896,23.0,7.0,18.0,8.0,17660.0,0.0,2.0,1994.0
1994-01-11,-10.0,1.3,-2.8791666666666664,-3.05,14.0,22.0,-13.4,-1.4,-5.7375,-4.95,11.0,23.0,69.0,94.0,80.79166666666667,81.5,5.0,15.0,3.2,25.0,14.887500000000001,14.5,18.0,3.0,100.17,100.84,100.44125000000001,100.39,23.0,6.0,-14.326525887022425,-1.410458907299254,-6.155132673954956,-6.322421127508811,14.0,22.0,18.0,8.0,16976.0,1.0,2.0,1994.0
1994-01-12,-16.1,-0.7,-7.758333333333333,-7.199999999999999,23.0,6.0,-17.3,-1.8,-9.816666666666666,-9.6,23.0,6.0,73.0,93.0,85.29166666666667,86.0,23.0,0.0,6.4,25.0,17.291666666666668,16.1,0.0,21.0,98.87,100.77,99.89208333333333,100.025,0.0,23.0,-20.768404568357617,-3.2817488554353638,-11.569206316487554,-11.104927788682295,23.0,6.0,18.0,8.0,16717.0,2.0,2.0,1994.0
1994-01-13,-6.8,0.1,-3.6208333333333336,-3.9,1.0,23.0,-9.3,-1.3,-6.595833333333334,-7.4,2.0,23.0,64.0,91.0,79.95833333333333,81.5,2.0,13.0,3.2,19.3,13.479166666666666,12.9,11.0,21.0,98.67,99.07,98.8675,98.84,10.0,23.0,-10.669643518623175,-2.459795019016257,-7.06430733841396,-7.538010385740087,1.0,23.0,18.0,8.0,16978.0,3.0,2.0,1994.0
1994-01-14,-20.1,-7.0,-13.208333333333334,-12.6,0.0,23.0,-26.6,-9.3,-17.591666666666665,-18.700000000000003,0.0,23.0,57.0,85.0,69.91666666666667,67.0,1.0,23.0,8.0,40.2,21.925,24.1,15.0,5.0,98.44,98.87,98.62041666666666,98.555,19.0,6.0,-25.256434955936257,-10.869643518623175,-17.832615466150074,-17.36594651127134,0.0,23.0,18.0,8.0,18442.0,4.0,2.0,1994.0
1994-01-15,-26.5,-20.0,-23.825,-24.0,0.0,8.0,-32.2,-26.6,-29.537499999999998,-29.4,0.0,7.0,50.0,69.0,59.708333333333336,60.0,11.0,17.0,24.1,40.2,30.02916666666667,25.0,10.0,9.0,98.87,100.51,99.59500000000001,99.59,23.0,1.0,-31.813811278703128,-25.156434955936255,-29.071247692886192,-29.245472124222964,0.0,9.0,18.0,8.0,19260.0,5.0,2.0,1994.0
1994-01-16,-30.3,-12.6,-21.283333333333335,-18.9,23.0,5.0,-36.1,-14.0,-26.099999999999998,-24.049999999999997,23.0,1.0,47.0,89.0,65.58333333333333,63.5,23.0,1.0,1.6,40.2,19.554166666666667,19.3,13.0,23.0,100.27,101.41,100.985,101.09,11.0,23.0,-35.68028566504552,-16.993828802437477,-26.33167773923987,-23.951039840298446,23.0,5.0,18.0,8.0,18188.0,6.0,2.0,1994.0
1994-01-17,-14.7,-7.0,-9.708333333333334,-9.45,12.0,23.0,-18.4,-9.5,-12.625,-12.5,9.0,23.0,67.0,92.0,79.58333333333333,80.5,3.0,18.0,1.2,25.0,11.570833333333333,8.05,18.0,0.0,98.71,100.11,99.12,99.01,0.0,15.0,-19.445923225123742,-10.959259392549281,-13.946161176096146,-13.847816092627259,12.0,23.0,18.0,8.0,18225.0,0.0,3.0,1994.0
1994-01-18,-21.0,-15.4,-18.583333333333332,-18.5,0.0,23.0,-24.7,-20.9,-22.962500000000002,-23.35,1.0,18.0,62.0,82.0,68.625,68.5,23.0,0.0,6.4,40.2,22.308333333333334,24.55,9.0,22.0,99.04,100.21,99.44375000000001,99.27,23.0,2.0,-26.02203481012777,-20.30534909078789,-23.58714068856821,-23.533456976582283,0.0,23.0,18.0,8.0,19615.0,1.0,3.0,1994.0
1994-01-19,-25.0,-19.0,-21.570833333333336,-21.55,14.0,9.0,-28.9,-23.6,-26.53333333333333,-26.200000000000003,0.0,11.0,52.0,78.0,64.875,66.5,0.0,11.0,9.7,32.2,23.316666666666666,24.55,8.0,0.0,100.27,101.11,100.82333333333334,100.91,11.0,0.0,-30.228078211180964,-24.10371161126633,-26.72172521148976,-26.72713216986375,15.0,9.0,18.0,8.0,20030.0,2.0,3.0,1994.0
1994-01-20,-23.0,-14.2,-18.349999999999998,-16.799999999999997,14.0,2.0,-27.5,-18.4,-22.97083333333333,-21.65,21.0,2.0,61.0,76.0,67.33333333333333,67.5,0.0,9.0,16.1,25.0,22.504166666666666,24.1,0.0,20.0,101.04,101.47,101.28500000000001,101.31,19.0,0.0,-28.187307984453653,-18.98556903029393,-23.333687974807265,-21.740466380939807,14.0,2.0,18.0,8.0,18937.0,3.0,3.0,1994.0
