,date,temp,dew_point_temp,rel_hum,wind_speed,visibility,press,wind_chill,hourly_demand,hmdxx,temp_min,temp_max,temp_mean,temp_median,dew_point_temp_min,dew_point_temp_max,dew_point_temp_mean,dew_point_temp_median,rel_hum_min,rel_hum_max,rel_hum_mean,rel_hum_median,visibility_min,visibility_max,visibility_mean,visibility_median,press_min,press_max,press_mean,press_median,hmdxx_min,hmdxx_max,hmdxx_mean,hmdxx_median
0,1994-01-01,0.5750000000000001,-1.3875,87.0,20.333333333333332,17.84166666666667,99.07583333333334,-5.888888888888889,14655.208333333334,-1.8849003011427945,-1.8,2.8,0.5750000000000001,0.6499999999999999,-4.8,1.1,-1.3875,-0.65,73.0,99.0,87.0,86.5,0.8,40.2,17.84166666666667,16.1,98.51,99.91,99.07583333333334,98.84,-4.976662629684901,0.6860085702208258,-1.8849003011427945,-1.5135749478955982
1,1994-01-02,-8.704166666666667,-12.445833333333333,74.41666666666667,17.875,28.387500000000003,99.92,-16.681818181818183,15783.333333333334,-12.827362583907897,-14.3,1.7,-8.704166666666667,-9.9,-20.3,0.5,-12.445833333333333,-13.9,60.0,92.0,74.41666666666667,75.5,6.4,40.2,28.387500000000003,25.0,98.77,100.51,99.92,100.125,-19.165499188452607,-0.3383937307725146,-12.827362583907894,-14.393997995600923
2,1994-01-03,-12.612499999999999,-15.820833333333333,77.25,17.666666666666668,10.404166666666667,100.05708333333332,-20.583333333333332,18992.708333333332,-17.143931546132592,-16.3,-10.3,-12.612500000000002,-12.0,-23.2,-12.6,-15.820833333333333,-15.0,55.0,91.0,77.25,80.5,1.2,25.0,10.404166666666669,8.0,99.41,100.47,100.05708333333332,100.155,-21.317386199117028,-14.555717277936497,-17.143931546132592,-16.423197606411236
3,1994-01-04,-9.833333333333334,-13.570833333333333,74.41666666666667,25.791666666666668,24.879166666666666,98.67541666666666,-18.541666666666668,19080.708333333332,-14.183285609218077,-11.5,-7.4,-9.833333333333334,-9.95,-15.0,-11.5,-13.570833333333333,-13.7,57.0,84.0,74.41666666666667,76.0,9.7,40.2,24.879166666666663,24.1,98.27,99.34,98.67541666666666,98.61,-15.874947966639432,-11.706659513418064,-14.183285609218077,-14.31017734472995
4,1994-01-05,-11.866666666666667,-16.154166666666665,70.79166666666667,22.875,27.033333333333335,99.35208333333333,-20.52173913043478,19183.208333333332,-16.40769510636245,-17.5,-7.2,-11.866666666666667,-11.75,-20.8,-10.7,-16.154166666666665,-17.0,56.0,84.0,70.79166666666667,74.0,1.0,40.2,27.03333333333333,25.0,98.44,100.37,99.35208333333333,99.375,-22.394181969646628,-11.256394656144105,-16.40769510636245,-16.464188155559043
5,1994-01-06,-16.0,-18.533333333333335,80.875,22.25,9.858333333333333,100.02166666666666,-25.541666666666668,20335.791666666668,-20.744823253691667,-18.2,-14.0,-16.0,-15.75,-22.1,-16.2,-18.53333333333333,-17.6,70.0,88.0,80.875,83.0,1.0,25.0,9.858333333333333,3.2,99.71,100.41,100.02166666666666,100.025,-23.127171863281337,-18.584224566421124,-20.74482325369167,-20.47698679932577
6,1994-01-07,-15.420833333333334,-18.379166666666666,78.20833333333333,22.708333333333332,15.858333333333334,99.74708333333332,-25.208333333333332,20053.0,-20.15631918264817,-17.4,-13.7,-15.420833333333334,-15.9,-21.0,-15.1,-18.379166666666663,-19.0,66.0,90.0,78.20833333333333,79.5,1.2,40.2,15.858333333333334,12.9,99.47,99.97,99.74708333333332,99.81,-22.253713715975863,-18.19287850080536,-20.15631918264817,-20.628702768688115
7,1994-01-08,-13.225,-15.316666666666668,84.33333333333333,16.041666666666668,10.654166666666667,99.27166666666666,-20.541666666666668,18435.0,-17.718461565860345,-15.0,-9.5,-13.225,-14.1,-17.8,-10.7,-15.316666666666668,-16.45,78.0,92.0,84.33333333333333,84.0,1.6,25.0,10.654166666666669,9.7,98.97,99.81,99.27166666666666,99.19,-19.70443693991037,-13.544551988423366,-17.718461565860345,-18.66241908960867
8,1994-01-09,-17.804166666666667,-22.325,68.08333333333333,7.666666666666667,31.295833333333334,100.80666666666667,-25.058823529411764,18043.75,-22.77155782117899,-21.8,-12.2,-17.804166666666667,-18.5,-26.3,-17.6,-22.325,-22.4,56.0,76.0,68.08333333333333,69.5,24.1,40.2,31.29583333333333,25.0,99.91,101.71,100.80666666666669,100.84,-26.9456326017306,-17.004724697266003,-22.77155782117899,-23.458662139277504
9,1994-01-10,-14.858333333333334,-18.841666666666665,71.91666666666667,10.75,20.783333333333335,101.65499999999999,-20.904761904761905,19717.916666666668,-19.501955071541666,-24.8,-5.2,-14.858333333333334,-15.6,-30.1,-9.1,-18.841666666666665,-20.0,56.0,93.0,71.91666666666667,71.5,4.0,25.0,20.78333333333333,25.0,100.67,102.07,101.65500000000002,101.81,-30.06469990556103,-9.069643518623176,-19.501955071541666,-20.441877703252896
