,temp,dew_point_temp,rel_hum,visibility,press,daily_demand,hmdxx,year,month,day_of_week,week_of_year,sun_set
0,0.5750000000000001,-1.3875,87.0,17.84166666666667,99.07583333333334,14655.208333333334,-1.8849003011427945,1994,1,5,52,17.0
1,-8.704166666666667,-12.445833333333333,74.41666666666667,28.387500000000003,99.92,15783.333333333334,-12.827362583907895,1994,1,6,52,17.0
2,-12.6125,-15.820833333333333,77.25,10.404166666666669,100.05708333333332,18992.70833333333,-17.143931546132592,1994,1,0,1,17.0
3,-9.833333333333334,-13.570833333333333,74.41666666666667,24.879166666666663,98.67541666666666,19080.70833333333,-14.183285609218077,1994,1,1,1,17.0
4,-11.866666666666667,-16.154166666666665,70.79166666666667,27.03333333333333,99.35208333333333,19183.20833333333,-16.40769510636245,1994,1,2,1,17.0
5,-16.0,-18.53333333333333,80.875,9.858333333333333,100.02166666666666,20335.791666666668,-20.744823253691667,1994,1,3,1,17.0
6,-15.420833333333334,-18.379166666666663,78.20833333333333,15.858333333333334,99.74708333333332,20053.0,-20.15631918264817,1994,1,4,1,17.0
7,-13.225,-15.316666666666668,84.33333333333333,10.654166666666669,99.27166666666666,18435.0,-17.718461565860345,1994,1,5,1,17.0
8,-17.804166666666667,-22.325,68.08333333333333,31.29583333333333,100.80666666666669,18043.75,-22.77155782117899,1994,1,6,1,17.0
9,-14.858333333333334,-18.841666666666665,71.91666666666667,20.78333333333333,101.655,19717.916666666668,-19.501955071541666,1994,1,0,2,18.0
10,-2.8791666666666664,-5.7375,80.79166666666667,14.8875,100.44125,18584.291666666668,-6.155132673954956,1994,1,1,2,18.0
11,-7.758333333333333,-9.816666666666666,85.29166666666667,17.291666666666668,99.89208333333332,18506.25,-11.569206316487554,1994,1,2,2,18.0
12,-3.6208333333333336,-6.595833333333334,79.95833333333333,13.479166666666666,98.8675,17965.583333333332,-7.06430733841396,1994,1,3,2,18.0
13,-13.208333333333334,-17.591666666666665,69.91666666666667,21.925,98.62041666666666,19073.75,-17.832615466150074,1994,1,4,2,18.0
14,-23.825,-29.5375,59.708333333333336,30.02916666666667,99.595,19683.666666666668,-29.071247692886192,1994,1,5,2,18.0
15,-21.28333333333333,-26.1,65.58333333333333,19.554166666666667,100.985,19514.95833333333,-26.33167773923987,1994,1,6,2,18.0
16,-9.708333333333334,-12.625,79.58333333333333,11.570833333333333,99.12,19846.375,-13.946161176096146,1994,1,0,3,18.0
17,-18.58333333333333,-22.9625,68.625,22.308333333333334,99.44375,20418.0,-23.58714068856821,1994,1,1,3,18.0
18,-21.570833333333336,-26.53333333333333,64.875,23.316666666666663,100.82333333333334,21303.58333333333,-26.72172521148976,1994,1,2,3,18.0
19,-18.35,-22.97083333333333,67.33333333333333,22.504166666666663,101.285,20788.041666666668,-23.333687974807265,1994,1,3,3,18.0
20,-12.895833333333334,-17.070833333333333,71.125,17.608333333333334,100.62666666666668,20049.58333333333,-17.529229125714032,1994,1,4,3,18.0
21,-9.604166666666666,-14.408333333333331,68.54166666666667,28.82916666666667,100.165,17993.666666666668,-14.01396807268516,1994,1,5,3,18.0
22,-4.8625,-6.579166666666667,87.83333333333333,7.379166666666666,99.43041666666666,17356.666666666668,-8.221108799486926,1994,1,6,3,18.0
23,-1.1333333333333335,-3.858333333333333,81.79166666666667,16.2375,99.67666666666666,18125.791666666668,-4.094445170783021,1994,1,0,4,18.0
24,-9.395833333333334,-13.620833333333332,71.29166666666667,22.7875,100.805,19110.375,-13.733383020801538,1994,1,1,4,18.0
25,-18.8625,-23.1875,69.125,21.495833333333334,101.68166666666669,20589.33333333333,-23.86508194618065,1994,1,2,4,18.0
26,-10.275,-12.65,82.54166666666667,5.508333333333333,100.57666666666668,20577.375,-14.244189395324703,1994,1,3,4,18.0
27,1.8,0.5125000000000001,91.41666666666669,8.85,97.98416666666668,18201.291666666668,-0.2026620203335862,1994,1,4,4,18.0
28,-8.583333333333334,-12.333333333333334,74.33333333333333,21.05,99.50666666666666,17303.5,-12.785630674807754,1994,1,5,4,18.0
29,-17.229166666666668,-22.09583333333333,66.16666666666667,26.8,100.7475,17858.458333333332,-22.18006095843928,1994,1,6,4,18.0
30,-17.458333333333332,-22.08333333333333,67.875,29.700000000000003,100.35541666666668,19857.125,-22.40599894308302,1994,1,0,5,18.0
31,-14.483333333333334,-18.4875,72.25,26.75,100.03125,19739.625,-19.229308796425475,1994,2,1,5,18.0
32,-11.0,-15.091666666666669,72.16666666666667,20.14166666666667,99.67333333333332,19551.08333333333,-15.445268575379409,1994,2,2,5,18.0
33,-8.970833333333333,-13.345833333333331,70.79166666666667,23.1125,99.20791666666666,18969.33333333333,-13.257953471385653,1994,2,3,5,18.0
34,-8.570833333333333,-13.120833333333332,69.70833333333333,25.1625,99.60291666666666,18810.875,-12.866801400484322,1994,2,4,5,18.0
35,-8.420833333333333,-12.916666666666666,70.16666666666667,29.3625,98.91666666666669,17491.833333333332,-12.68184398487355,1994,2,5,5,18.0
36,-8.220833333333333,-11.658333333333331,76.375,25.9,99.26875,17050.791666666668,-12.314918959299485,1994,2,6,5,18.0
37,-14.358333333333334,-20.129166666666663,61.833333333333336,23.991666666666664,100.4225,19384.625,-19.208717835854635,1994,2,0,6,18.0
38,-16.5,-20.416666666666668,71.875,10.7125,100.27458333333334,20336.875,-21.366248872223,1994,2,1,6,18.0
39,-17.120833333333334,-21.3375,69.66666666666667,19.65,99.65958333333332,20314.20833333333,-22.04183840754457,1994,2,2,6,18.0
40,-17.354166666666668,-21.84166666666667,68.25,21.808333333333334,101.24916666666668,20251.375,-22.261071051640275,1994,2,3,6,18.0
41,-13.6,-17.65,71.70833333333333,18.72083333333333,100.6875,19566.875,-18.280442898549055,1994,2,4,6,18.0
42,-9.866666666666664,-12.7375,79.625,17.745833333333334,100.31208333333332,18129.791666666668,-13.96314948682425,1994,2,5,6,18.0
43,-5.220833333333333,-7.841666666666666,82.16666666666667,16.004166666666666,99.29833333333332,16749.333333333332,-8.851310164431995,1994,2,6,6,18.0
44,-11.925,-17.275000000000002,64.70833333333333,27.762500000000003,100.16875,18811.33333333333,-16.569894850112764,1994,2,0,7,18.0
45,-4.095833333333333,-7.616666666666667,76.625,18.933333333333334,99.43375,18558.375,-7.689898643232106,1994,2,1,7,18.0
46,-5.316666666666666,-9.554166666666667,72.58333333333333,25.516666666666666,100.7325,17864.666666666668,-9.212466328329176,1994,2,2,7,18.0
47,-0.4333333333333333,-4.366666666666666,75.0,14.375,100.40333333333332,17224.625,-3.4796041814463456,1994,2,3,7,18.0
48,-0.2624999999999999,-2.2291666666666665,86.95833333333333,5.241666666666666,100.57125,15811.833333333334,-2.878837872538696,1994,2,4,7,18.0
49,5.466666666666666,0.3249999999999999,71.125,17.533333333333335,100.12208333333332,15008.875,3.4130360513503306,1994,2,5,7,18.0
50,7.670833333333333,2.891666666666667,72.375,24.9625,99.54041666666666,17002.708333333332,6.348577523063085,1994,2,6,7,18.0
51,0.45,-1.9208333333333332,84.16666666666667,21.53333333333333,100.12333333333332,16655.083333333332,-2.144126020566248,1994,2,0,8,18.0
52,-6.45,-11.333333333333334,68.45833333333333,31.92916666666667,100.98,17674.166666666668,-10.558810738037351,1994,2,1,8,18.0
53,-6.441666666666666,-8.654166666666667,84.79166666666667,7.720833333333334,99.57,19109.0,-10.194797865700654,1994,2,2,8,18.0
54,-4.308333333333334,-7.204166666666667,80.45833333333333,18.925,98.13916666666668,18450.541666666668,-7.760440315215518,1994,2,3,8,19.0
55,-10.645833333333334,-15.008333333333333,70.58333333333333,28.604166666666668,99.43666666666668,18420.45833333333,-15.120313193223469,1994,2,4,8,19.0
56,-13.25,-18.79583333333333,64.0,26.683333333333337,100.08583333333333,17733.583333333332,-17.994789387083102,1994,2,5,8,19.0
57,-13.654166666666669,-20.7375,56.958333333333336,31.96666666666667,100.94416666666666,17442.083333333332,-18.540753046866985,1994,2,6,8,19.0
58,-9.6625,-14.758333333333333,67.125,30.633333333333336,100.86875,18583.125,-14.092858722979429,1994,2,0,9,19.0
59,-5.574999999999999,-10.2625,69.875,24.5875,100.74708333333332,17700.458333333332,-9.538206923901438,1994,3,1,9,19.0
60,-4.004166666666666,-6.9875,79.95833333333333,18.6125,100.045,17665.083333333332,-7.514697447853394,1994,3,2,9,19.0
61,-2.65,-7.708333333333333,68.54166666666667,26.8125,98.67791666666666,17211.583333333332,-6.250937381115186,1994,3,3,9,19.0
62,-0.3083333333333333,-4.404166666666667,74.20833333333333,23.5625,97.93166666666669,16769.25,-3.3647390220756974,1994,3,4,9,19.0
63,-0.0124999999999999,-5.283333333333333,68.41666666666667,30.20833333333333,99.06833333333331,15447.75,-3.249620204727285,1994,3,5,9,19.0
